,   Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10750,Blacktown (C),2012,58650,104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10750,Blacktown (C),2013,60368,105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10750,Blacktown (C),2014,62457,117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10750,Blacktown (C),2015,65389,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10750,Blacktown (C),2016,67650,130,13986,5325,99592,614,291,936,1717,123947,11345,3843,1590,10743,151468,15362,2369,83375,101107,3.2,40032,9098,21958,10022,5958,1455,88519,3.3,123882,15921,100980,52.3,33.4,4.4,6.6,3.3,84.8,12.3,1588,2204,62,23.8,6.6,0.7,11.2,14,1.9,6866,68485,19531,78774,16286,5246,453,22.5,41.9,32.2,89.6,10.4,87.9,12.1,18.5,15.5,16.5,11.9,6,8,6,8,7,8,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10800,Bland (A),2011,923,80,-,57,1499,7,20,57,202,1912,37,432,51,263,2695,645,48,1569,2262,2.4,564,93,730,132,58,13,1582,3,2305,381,1426,54.5,26.7,8.7,7.3,2.8,-,-,583,1231,64.3,20.2,7.8,0.9,12.1,31.3,2.1,-,-,-,2127,16,85,29,47.1,26.7,21.8,95.2,4.8,96.6,3.4,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10800,Bland (A),2012,860,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10800,Bland (A),2013,829,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10800,Bland (A),2014,878,105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10800,Bland (A),2015,866,133,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10800,Bland (A),2016,862,145,3,61,1506,4,12,52,154,1837,25,388,53,238,2541,664,25,1486,2185,2.4,470,87,687,156,81,20,1494,2.9,2089,347,1470,53.8,27.5,8.5,6.9,3.2,69.5,25.7,641,1181,59,17.9,7.9,0.8,12.3,30.9,2.1,39,1735,230,2066,9,56,13,46.4,25.8,22.5,97.1,2.9,96.7,3.3,20.5,2.5,26.2,3.4,5,5,5,7,6,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10850,Blayney (A),2011,1454,80,-,9,2132,14,-,19,107,2363,34,309,53,354,3113,679,40,1833,2550,2.5,667,134,745,175,103,25,1854,3,2606,408,1824,52.6,28.8,6.6,8.5,3.6,-,-,750,1639,62.2,21.7,7,1,11.6,22.9,2,-,-,-,2416,53,58,21,37.9,35.9,23,92.5,7.5,95.5,4.5,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10850,Blayney (A),2012,1396,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10850,Blayney (A),2013,1345,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10850,Blayney (A),2014,1364,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10850,Blayney (A),2015,1324,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10850,Blayney (A),2016,1294,100,4,14,2279,18,3,21,137,2536,17,296,40,333,3222,709,46,1905,2656,2.5,664,140,800,192,101,22,1926,3,2566,564,1900,50.5,30,6.2,9.7,3.7,75.3,20.5,936,1656,59.9,21.1,8.1,0.9,12.6,24.2,2,47,2125,315,2507,34,52,23,37.5,34.7,22.7,94.7,5.3,92.7,7.3,23.7,22.2,24.9,22.2,6,6,5,8,7,6,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10900,Blue Mountains (C),2011,19349,120,2683,108,22232,160,127,222,913,26838,1501,2228,445,4598,35610,7183,798,20048,28031,2.5,7591,1637,7810,2143,1037,181,20386,3,28066,5223,21463,50.1,30.9,5.7,10.2,3,-,-,1208,1932,62.6,20.5,8.8,1.5,12.9,23.4,1.9,-,-,-,25974,1421,573,46,37.4,40.6,19.2,89.5,10.5,91.6,8.4,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10900,Blue Mountains (C),2012,18147,130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10900,Blue Mountains (C),2013,17854,140,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10900,Blue Mountains (C),2014,18184,144,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10900,Blue Mountains (C),2015,18375,146,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10900,Blue Mountains (C),2016,17775,150,2816,127,22932,179,120,235,916,27693,1470,2440,236,4021,35860,7386,854,20389,28630,2.5,7387,1762,8250,2015,1175,221,20798,3,27826,6164,22320,49.1,31.8,5.4,10.5,3.1,87.6,10.5,1495,1928,63.8,20.1,9,1.1,13.9,25.3,1.8,474,22705,3906,26482,1401,588,51,39.2,39.5,18.4,92.6,7.4,91.6,8.4,29.1,19.9,14.0,6.2,9,9,9,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10950,Bogan (A),2011,407,88,-,65,679,11,7,7,127,929,18,152,37,112,1248,315,18,714,1049,2.5,272,50,276,84,48,11,731,3.1,957,184,746,50.2,30.5,8.7,7.3,3.4,-,-,612,1202,59.7,20.9,7.3,1,9.1,23.8,2,-,-,-,972,24,30,20,40.7,22.8,31.4,96.7,3.3,95,5,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10950,Bogan (A),2012,437,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10950,Bogan (A),2013,421,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10950,Bogan (A),2014,458,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10950,Bogan (A),2015,436,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10950,Bogan (A),2016,412,100,-,52,726,7,10,5,98,923,11,130,23,86,1173,296,19,654,967,2.4,217,48,282,73,40,10,662,3,834,226,696,46.4,34.7,8.5,6.4,4,66.8,28.7,669,1186,61.5,17.5,6.4,0.4,9.5,24.1,2,21,741,118,883,30,28,14,40.5,22.5,31.7,97.3,2.7,94.3,5.7,31.6,1.9,37.8,2.3,4,4,5,4,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11150,Bourke (A),2011,224,120,-,5,685,8,15,14,210,952,16,115,29,87,1199,284,23,630,940,2.6,217,34,242,91,29,17,641,3.1,697,265,740,40.5,43.5,5.5,6.4,3.9,-,-,419,1074,56,18.9,5.7,1,10.3,24.2,2.1,-,-,-,888,3,23,15,30.9,21.7,39.3,96.7,3.3,96.6,3.4,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11150,Bourke (A),2012,240,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11150,Bourke (A),2013,229,104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11150,Bourke (A),2014,223,124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11150,Bourke (A),2015,233,145,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11150,Bourke (A),2016,217,156,-,3,620,7,9,22,158,836,4,82,17,61,1000,268,14,550,831,2.5,187,26,206,87,45,11,561,3.1,547,268,680,38,46.1,6.2,6.3,3.6,62.5,31.8,626,1281,56.3,15,5.5,0.8,9.2,22.6,2,36,575,134,746,16,34,25,30,22.9,40.6,97.2,2.8,94.9,5.1,24.7,1.4,22.9,1.4,2,3,8,2,2,3,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11200,Brewarrina (A),2011,93,100,-,9,298,-,4,8,159,489,-,64,25,40,619,169,17,388,573,2.6,128,24,119,87,30,22,417,3.1,284,236,599,27.6,57.3,5.3,6.1,3.3,-,-,281,968,67.2,17.7,6.4,0.3,9.8,16.9,2.1,-,-,-,531,-,37,4,26.4,12,56.4,98.2,1.8,93.2,6.8,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11200,Brewarrina (A),2012,103,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11200,Brewarrina (A),2013,98,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11200,Brewarrina (A),2014,91,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11200,Brewarrina (A),2015,79,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11200,Brewarrina (A),2016,80,85,-,7,263,13,4,4,110,415,3,44,14,22,498,159,22,369,553,2.6,93,18,124,106,36,16,398,3,250,218,574,25.4,61.1,5.7,5.3,2.7,55,38.9,461,772,65.3,14.3,6.6,0.2,10.2,16.9,1.9,62,341,103,503,5,34,8,25.2,8.6,58.7,99,1,89.2,10.8,39.6,1.8,43.6,1.9,1,1,4,1,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11250,Broken Hill (C),2011,2296,52,-,38,5151,58,60,76,388,5849,45,163,150,800,7007,2509,150,4781,7436,2.2,1271,372,2102,738,305,67,4853,2.8,5826,1423,5814,44,33,9.3,9.9,3.9,-,-,717,1113,63.7,16.6,7.5,0.7,12.4,17.4,1.8,-,-,-,7018,74,311,25,45,29.1,20.9,95.7,4.3,93.5,6.5,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11250,Broken Hill (C),2012,2072,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11250,Broken Hill (C),2013,2056,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11250,Broken Hill (C),2014,2092,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11250,Broken Hill (C),2015,2103,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11250,Broken Hill (C),2016,2134,100,3,31,5247,48,34,31,321,5770,32,163,93,844,6902,2532,182,4461,7184,2.2,1112,371,1921,700,361,75,4536,2.8,5171,1432,5927,41.2,35.2,8.4,10.9,4.2,69.2,26.9,847,1083,65.4,15.9,7.7,0.7,13,18.4,1.8,158,5485,1024,6792,168,182,17,42.1,29.7,23.6,96.9,3.1,93.1,6.9,4.5,2.8,4.1,2.8,2,2,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11300,Burwood (A),2011,6003,140,3776,489,6666,65,80,82,707,11999,1219,448,279,1151,15096,2210,863,7653,10727,2.8,3042,840,2650,715,535,277,8055,3.1,11648,1128,12149,47.8,38.7,5.4,6,2.1,-,-,1690,2453,70,16.3,5.2,0.4,10.8,13.4,1.8,-,-,-,5631,1194,3825,60,34,25.8,36.6,90,10,82.8,17.2,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11300,Burwood (A),2012,5724,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11300,Burwood (A),2013,5763,170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11300,Burwood (A),2014,5858,165,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11300,Burwood (A),2015,6098,170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11300,Burwood (A),2016,5875,179,4845,547,7000,77,70,97,829,13572,1518,583,218,1283,17174,2397,1301,8256,11957,2.9,3200,817,3099,721,586,289,8722,3,12185,1720,15004,45.5,41.6,4.6,6.2,2.1,84.1,12.7,2123,2435,73.1,15.3,4.7,0.4,10.4,14,1.7,1690,5949,3537,4711,1976,5124,50,30.3,23.8,41.8,92.5,7.5,79.7,20.3,10.8,11.0,13.7,9.2,7,9,9,2,8,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11350,Byron (A),2011,5190,120,12,82,7836,86,366,139,583,9263,118,1561,231,1446,12619,3090,838,7274,11196,2.4,2397,448,2797,1262,425,89,7426,2.9,8058,2872,9746,38.4,38.1,5.3,14.5,3.7,-,-,1467,1854,62.7,20.5,6.9,1.6,11.8,26,1.7,-,-,-,9194,1026,605,350,35,28.8,32.3,88.1,11.9,80.9,19.1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11350,Byron (A),2012,4669,155,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11350,Byron (A),2013,4716,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11350,Byron (A),2014,4958,155,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11350,Byron (A),2015,4813,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11350,Byron (A),2016,4745,200,13,73,8521,95,334,147,572,9893,112,1819,235,1498,13557,3132,896,7338,11368,2.4,2392,474,2995,1103,469,96,7523,2.8,7946,3340,10100,37.1,39.7,5.1,14.5,3.6,85,11.7,1814,1899,59.8,18.4,6.6,1,11.2,25,1.7,396,7682,2342,9266,814,731,392,36.5,28.4,30.8,91.5,8.5,82.8,17.2,16.7,8.1,15.6,9.1,8,8,9,7,8,8,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11400,Cabonne (A),2011,2244,85,-,27,4057,46,11,57,272,4594,56,713,102,562,6027,1106,71,3527,4704,2.6,1288,259,1575,284,134,36,3575,3,5279,799,3027,57.3,25.8,6.6,7.7,2.8,-,-,593,1663,65,21.1,7.7,0.9,13,27.5,2.1,-,-,-,4504,67,65,62,43.6,33.5,19.5,92.1,7.9,95.9,4.1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11400,Cabonne (A),2012,2259,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11400,Cabonne (A),2013,2192,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11400,Cabonne (A),2014,2153,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11400,Cabonne (A),2015,2184,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11400,Cabonne (A),2016,2118,100,3,13,4175,26,5,50,264,4658,33,647,103,591,6032,1144,74,3472,4686,2.6,1314,278,1476,272,143,37,3531,3,5197,793,3180,56.2,26.5,6.5,7.6,3.2,75.7,21.4,790,1746,60.8,21,8,1,12.4,28,2,89,3748,573,4510,25,75,46,42.1,35.2,18.7,93.8,6.2,95.3,4.7,22.1,15.8,19.4,12.2,8,8,8,9,8,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450,Camden (A),2011,13852,80,600,149,21168,107,52,102,354,23124,1346,1067,390,2832,28759,2590,323,14961,17876,3,6971,1519,4635,1530,653,152,15462,3.3,22614,3207,14147,55.7,29.7,4.4,7.2,3.1,-,-,1506,2315,59,26.3,8.1,1.2,10.9,14.6,2,-,-,-,16397,1019,275,151,26,52.7,18.7,83.3,16.7,93.3,6.7,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450,Camden (A),2012,13874,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
